full_text,text_clean,Label
Warga Wadas tidak akan terlalu mudah terpikat oleh trik politik Prabowo - Gibran  karena mereka menghargai kejujuran @giovanha_o7  https://t.co/qdoyysrNnQ,warga wadas tidak akan terlalu mudah terpikat oleh trik politik prabowo gibran karena mereka menghargai kejujuran,negatif
Jangan biarkan dongeng Prabowo - Gibran merusak citra politik yang seharusnya bermoral @AA4Twit  https://t.co/nrFvedPM9h,jangan biarkan dongeng prabowo gibran merusak citra politik yang seharusnya bermoral,negatif
Keberanian Prabowo-Gibran untuk menghadapi tantangan menjadi inspirasi bagi masyarakat Surabaya yang juga berjuang dalam kehidupan sehari-hari. @faridwawaaa  https://t.co/vute4WMjZK,keberanian prabowogibran untuk menghadapi tantangan menjadi inspirasi bagi masyarakat surabaya yang juga berjuang dalam kehidupan seharihari,positif
Pembohongan Prabowo - Gibran terkait dukungan Wadas di Pilpres 2024 hanya menggambarkan ketidakjujuran dalam mendapatkan dukungan rakyat @apisspikul  https://t.co/ph6cxhCAQt,pembohongan prabowo gibran terkait dukungan wadas di pilpres hanya menggambarkan ketidakjujuran dalam mendapatkan dukungan rakyat,negatif
Kualitas Prabowo dan Gibran rendah  rakyat jangan mau dipermainkan @Santynuryanti3 Belimbing Sayur https://t.co/Aqg1uklXqP,kualitas prabowo dan gibran rendah rakyat jangan mau dipermainkan belimbing sayur,negatif
Prabowo - Gibran  jangan seperti penjual obat palsu yang cuma bikin gebrakan iklan tapi nol prestasi @batara_muhlis  https://t.co/JoFxHfnQvQ,prabowo gibran jangan seperti penjual obat palsu yang cuma bikin gebrakan iklan tapi nol prestasi,negatif
Rakyat Jawa Tengah takkan lupa bahwa kejujuran lebih berharga daripada trik politik Prabowo - Gibran @Faceless_vo1d  https://t.co/f9DmqoSdRj,rakyat jawa tengah takkan lupa bahwa kejujuran lebih berharga daripada trik politik prabowo gibran,negatif
Sinar harapan dari mantan kades  bersama Prabowo-Gibran  kita bisa mencapai kejayaan yang lebih tinggi!   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/GLuMltflqV,sinar harapan dari mantan kades bersama prabowogibran kita bisa mencapai kejayaan yang lebih tinggi purnakuwu dukungpragibs,negatif
Ganjar - Mahfud  pasangan yang diinginkan rakyat Jawa Tengah  bukan drama politik yang dijual oleh Prabowo - Gibran @AbdulHarist  https://t.co/MhzTpsxlNV,ganjar mahfud pasangan yang diinginkan rakyat jawa tengah bukan drama politik yang dijual oleh prabowo gibran,negatif
Suara persetujuan dari pemimpin  Prabowo-Gibran diakui sebagai penjaga keamanan utama.   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/svkXfuNSlw,suara persetujuan dari pemimpin prabowogibran diakui sebagai penjaga keamanan utama purnakuwu dukungpragibs,negatif
Prabowo - Gibran seharusnya belajar bahwa politik bukanlah panggung sandiwara untuk menipu rakyat @atapu3000  https://t.co/CtNGC8MsBX,prabowo gibran seharusnya belajar bahwa politik bukanlah panggung sandiwara untuk menipu rakyat,negatif
Prabowo - Gibran seharusnya belajar bahwa kejujuran adalah pondasi yang kokoh untuk membangun dukungan rakyat @ArdhieRianda  https://t.co/IXkUQamvPv,prabowo gibran seharusnya belajar bahwa kejujuran adalah pondasi yang kokoh untuk membangun dukungan rakyat,negatif
Prabowo - Gibran keliru jika mengira rakyat Jawa Tengah mudah terpengaruh oleh cerita karangan mereka @AndhykaNandaa  https://t.co/IPHDCXv5ks,prabowo gibran keliru jika mengira rakyat jawa tengah mudah terpengaruh oleh cerita karangan mereka,negatif
Pemilih cerdas rakyat Jawa Tengah akan melihat melampaui klaim kosong Prabowo - Gibran dan memilih yang memiliki track record terbaik @dmsccr  https://t.co/vOXOaPOP7u,pemilih cerdas rakyat jawa tengah akan melihat melampaui klaim kosong prabowo gibran dan memilih yang memiliki track record terbaik,negatif
Prabowo - Gibran  dukungan palsu hanya akan merusak citra kalian di mata rakyat Jawa Tengah yang cerdas @alfhatpit  https://t.co/ey9Nt1jmav,prabowo gibran dukungan palsu hanya akan merusak citra kalian di mata rakyat jawa tengah yang cerdas,negatif
Dukungan tulus ratusan mantan kades Cirebon untuk Prabowo-Gibran mencerminkan kebutuhan akan kepemimpinan yang berani dan tulus di Indonesia.   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/uEjPRt6oH8,dukungan tulus ratusan mantan kades cirebon untuk prabowogibran mencerminkan kebutuhan akan kepemimpinan yang berani dan tulus di indonesia purnakuwu dukungpragibs,positif
Pemilihan bukan ajang drama  Prabowo - Gibran seharusnya fokus pada kejujuran dan kinerja nyata @galangkurniaa  https://t.co/6ZBIkRycsR,pemilihan bukan ajang drama prabowo gibran seharusnya fokus pada kejujuran dan kinerja nyata,negatif
Dukungan mantan Kades Cirebon mengalir tulus untuk Prabowo-Gibran! https://t.co/mOpPR7LJWS,dukungan mantan kades cirebon mengalir tulus untuk prabowogibran,positif
Dukungan utuh dari pemimpin lokal  Prabowo-Gibran sebagai penjamin keamanan yang handal.   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/1adl13ELlZ,dukungan utuh dari pemimpin lokal prabowogibran sebagai penjamin keamanan yang handal purnakuwu dukungpragibs,positif
Ratusan Mantan Kades Cirebon yakin  Prabowo-Gibran pemimpin yang membangkitkan semangat!   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/MAiPCDXCNs,ratusan mantan kades cirebon yakin prabowogibran pemimpin yang membangkitkan semangat purnakuwu dukungpragibs,positif
Mantabbb... Gassss PrabowoGibran satu putaran,mantabbb gassss prabowogibran satu putaran,positif
Prabowo - Gibran keliru jika mengira manipulasi akan membawanya meraih dukungan sejati dari Jawa Tengah @Adrasma  https://t.co/LLsaReJ3Gl,prabowo gibran keliru jika mengira manipulasi akan membawanya meraih dukungan sejati dari jawa tengah,negatif
Warga Wadas menegaskan bahwa mereka tak terombang-ambing oleh klaim palsu Prabowo - Gibran @faizullllllll  https://t.co/DFL6wd1Rxg,warga wadas menegaskan bahwa mereka tak terombangambing oleh klaim palsu prabowo gibran,negatif
Rakyat Jawa Tengah tahu bahwa kualitas pemimpin tak dapat diukur dari seberapa sering mereka muncul di media  tapi dari kinerja nyata  seperti yang ditunjukkan oleh Ganjar - Mahfud @garagaraarga https://t.co/9YcFyEKJ1M,rakyat jawa tengah tahu bahwa kualitas pemimpin tak dapat diukur dari seberapa sering mereka muncul di media tapi dari kinerja nyata seperti yang ditunjukkan oleh ganjar mahfud,negatif
Prabowo - Gibran  seolah-olah bermain catur dengan trik curang  tetapi rakyat Jawa Tengah mengetahui bahwa Ganjar - Mahfud adalah ratu yang sesungguhnya @amorokoo  https://t.co/g8MpmENNhw,prabowo gibran seolaholah bermain catur dengan trik curang tetapi rakyat jawa tengah mengetahui bahwa ganjar mahfud adalah ratu yang sesungguhnya,negatif
Prabowo - Gibran  seberapa sering lagi kalian akan mencoba menipu rakyat Jawa Tengah dengan klaim tanpa dasar? @iwan2014gemini  https://t.co/ylJrX8DF6q,prabowo gibran seberapa sering lagi kalian akan mencoba menipu rakyat jawa tengah dengan klaim tanpa dasar,negatif
Warga Wadas menegaskan bahwa mereka tidak terlibat dalam drama pembohongan Prabowo - Gibran @Dimas2219801496  https://t.co/oZOe7tJaBx,warga wadas menegaskan bahwa mereka tidak terlibat dalam drama pembohongan prabowo gibran,negatif
Semangat persatuan! Ratusan Mantan Kades di Cirebon deklarasikan dukungan ke Prabowo-Gibran.   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/PPSG7pSNtr,semangat persatuan ratusan mantan kades di cirebon deklarasikan dukungan ke prabowogibran purnakuwu dukungpragibs,positif
Dukungan warga Wadas seharusnya didasarkan pada kenyataan  bukan atas pembohongan Prabowo - Gibran @arankaru  https://t.co/QHPHmGdOv3,dukungan warga wadas seharusnya didasarkan pada kenyataan bukan atas pembohongan prabowo gibran,negatif
Keberanian Prabowo-Gibran didukung oleh mantan kades  menjanjikan perubahan positif yang luar biasa!   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/GROajc0UGD,keberanian prabowogibran didukung oleh mantan kades menjanjikan perubahan positif yang luar biasa purnakuwu dukungpragibs,positif
@MuhidinEman @_BangFu @azhariahrachman dia pendukung prabowo gibran bang btw,dia pendukung prabowo gibran bang btw,positif
Prabowo - Gibran mungkin mahir bermain politik  tapi kebohongan mereka akan terus terbongkar oleh kecerdasan rakyat Jawa Tengah @BacodSetn  https://t.co/yAtY0g42pl,prabowo gibran mungkin mahir bermain politik tapi kebohongan mereka akan terus terbongkar oleh kecerdasan rakyat jawa tengah,negatif
Prabowo - Gibran mungkin berharap dapat merayu rakyat dengan klaim tak bertanggung jawab @abil4ble  https://t.co/lvjJ1HqLJ9,prabowo gibran mungkin berharap dapat merayu rakyat dengan klaim tak bertanggung jawab,negatif
Semangat perubahan yang signifikan terpancar dari fokus mantan kepala desa di Kota/Kabupaten Cirebon pada kepemimpinan Prabowo-Gibran. https://t.co/Ru3ALYvUVM,semangat perubahan yang signifikan terpancar dari fokus mantan kepala desa di kotakabupaten cirebon pada kepemimpinan prabowogibran,positif
Prabowo - Gibran seolah menganggap politik sebagai panggung drama  di mana kebohongan bisa dianggap sebagai skenario yang sah @Caberawitpedas1  https://t.co/a28OsDATAE,prabowo gibran seolah menganggap politik sebagai panggung drama di mana kebohongan bisa dianggap sebagai skenario yang sah,negatif
Rakyat Jawa Tengah bijak  mereka tahu mana yang benar  Ganjar - Mahfud adalah pilihan mereka @bu_thio  https://t.co/v3lfZlFOZs,rakyat jawa tengah bijak mereka tahu mana yang benar ganjar mahfud adalah pilihan mereka,negatif
Prabowo - Gibran perlu menyadari bahwa kebohongan tidak akan membawa mereka jauh  terutama di mata rakyat Jawa Tengah yang cerdas @baddewa  https://t.co/PzMhNIJRnw,prabowo gibran perlu menyadari bahwa kebohongan tidak akan membawa mereka jauh terutama di mata rakyat jawa tengah yang cerdas,negatif
Ganjar - Mahfud  bukan sekadar janji  tapi bukti nyata kepedulian pada rakyat Jawa Tengah @dumpiejenny  https://t.co/JgTLgJV7AD,ganjar mahfud bukan sekadar janji tapi bukti nyata kepedulian pada rakyat jawa tengah,negatif
Cirebon solidaritas! Mantan kades dan lurah dukung Prabowo-Gibran tanpa ragu! 💪👥   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/wBPVuEOuzz,cirebon solidaritas mantan kades dan lurah dukung prabowogibran tanpa ragu purnakuwu dukungpragibs,positif
Pangkat dan kepedulian: Prabowo-Gibran  membawa dua elemen ini ke dalam kepemimpinan dengan keseimbangan yang sempurna.   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/Rk6L3Srto2,pangkat dan kepedulian prabowogibran membawa dua elemen ini ke dalam kepemimpinan dengan keseimbangan yang sempurna purnakuwu dukungpragibs,positif
Perubahan yang diharapkan oleh mantan kepala desa di Kota/Kabupaten Cirebon terletak pada kepemimpinan Prabowo-Gibran yang menjadi fokus utama. https://t.co/GVb1D0GHba,perubahan yang diharapkan oleh mantan kepala desa di kotakabupaten cirebon terletak pada kepemimpinan prabowogibran yang menjadi fokus utama,positif
Rakyat Jawa Tengah tidak terpesona oleh karismanya Prabowo - Gibran  mereka lebih mencari pemimpin dengan integritas seperti Ganjar - Mahfud @Ekotoni3  https://t.co/wFv5YXRr28,rakyat jawa tengah tidak terpesona oleh karismanya prabowo gibran mereka lebih mencari pemimpin dengan integritas seperti ganjar mahfud,negatif
Prabowo - Gibran  jangan menciptakan ilusi dukungan yang tidak ada  rakyat Jawa Tengah tidak mudah tertipu @bluephories  https://t.co/wDZ6doH53e,prabowo gibran jangan menciptakan ilusi dukungan yang tidak ada rakyat jawa tengah tidak mudah tertipu,negatif
Wadas menegaskan bahwa Prabowo - Gibran hanya memanfaatkan namanya  sementara hati rakyat Jawa Tengah telah bersatu untuk Ganjar - Mahfud @amorvfati  https://t.co/Yf3oIs9PdM,wadas menegaskan bahwa prabowo gibran hanya memanfaatkan namanya sementara hati rakyat jawa tengah telah bersatu untuk ganjar mahfud,negatif
Kedaulatan ekonomi sebagai landasan utama Prabowo-Gibran.   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/egPVkVMAUQ,kedaulatan ekonomi sebagai landasan utama prabowogibran purnakuwu dukungpragibs,positif
Prabowo - Gibran seharusnya belajar dari Ganjar - Mahfud tentang bagaimana memenangkan hati rakyat dengan kejujuran @buahbuku  https://t.co/0moIVt9S9Q,prabowo gibran seharusnya belajar dari ganjar mahfud tentang bagaimana memenangkan hati rakyat dengan kejujuran,negatif
Prabowo - Gibran tampak lupa bahwa rakyat Jawa Tengah tidak mudah terkecoh oleh rekayasa politik yang berbau rekayasa @A73221Aji  https://t.co/U7A5Lwik4w,prabowo gibran tampak lupa bahwa rakyat jawa tengah tidak mudah terkecoh oleh rekayasa politik yang berbau rekayasa,negatif
Dukungan yang luar biasa dari mantan kades dan lurah di Cirebon untuk Prabowo-Gibran!   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/MtH3Rzroes,dukungan yang luar biasa dari mantan kades dan lurah di cirebon untuk prabowogibran purnakuwu dukungpragibs,positif
Resmi Ditetapkan KPU Dengan Nomor Urut 2  Partai Demokrat Jember Siap All Out Menangkan Pasangan Prabowo - Gibran Pada Pilpres 2024.   #DemokratS14P  #mudaadalahkekuatan https://t.co/VeStZjfrBq,resmi ditetapkan kpu dengan nomor urut partai demokrat jember siap all out menangkan pasangan prabowo gibran pada pilpres,positif
Suara rakyat terdengar di Cirebon! Mantan kades dan lurah memberikan dukungan penuh untuk Prabowo-Gibran.   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/XQin4LgCID,suara rakyat terdengar di cirebon mantan kades dan lurah memberikan dukungan penuh untuk prabowogibran purnakuwu dukungpragibs,positif
Ganjar - Mahfud telah membuktikan keberpihakannya pada rakyat Jawa Tengah  sementara Prabowo - Gibran hanya menawarkan sandiwara politik @elveselie_  https://t.co/7wtXjSpmtH,ganjar mahfud telah membuktikan keberpihakannya pada rakyat jawa tengah sementara prabowo gibran hanya menawarkan sandiwara politik,negatif
Suara Terwujud: Ratusan Mantan Kades dan Lurah Cirebon Bangun Dukungan untuk Prabowo-Gibran  #Parlemen404 PurnaKuwu DukungPragibs https://t.co/GVpmfRJRf1,suara terwujud ratusan mantan kades dan lurah cirebon bangun dukungan untuk prabowogibran purnakuwu dukungpragibs,positif
Pemimpin lokal yakin  Prabowo-Gibran memiliki strategi hebat untuk menjaga keamanan.   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/hciP2u9wrm,pemimpin lokal yakin prabowogibran memiliki strategi hebat untuk menjaga keamanan purnakuwu dukungpragibs,positif
Suara hati rakyat Jawa Tengah tak bisa ditipu oleh akting politik Prabowo - Gibran  mereka tahu siapa yang pantas memimpin  yaitu Ganjar - Mahfud @Ankhagg1  https://t.co/N4SRtWnA5Q,suara hati rakyat jawa tengah tak bisa ditipu oleh akting politik prabowo gibran mereka tahu siapa yang pantas memimpin yaitu ganjar mahfud,negatif
Suara tegas para pemimpin  Prabowo-Gibran adalah penjamin keamanan yang unggul. https://t.co/OBMBztI2pg,suara tegas para pemimpin prabowogibran adalah penjamin keamanan yang unggul,positif
Prabowo-Gibran  pemimpin berwibawa yang selalu mencari cara untuk mencapai peningkatan kualitas hidup rakyat.  #Parlemen404 PurnaKuwu DukungPragibs https://t.co/zKYby9xRG6,prabowogibran pemimpin berwibawa yang selalu mencari cara untuk mencapai peningkatan kualitas hidup rakyat purnakuwu dukungpragibs,positif
Ganjar - Mahfud  pasangan yang menunjukkan bahwa kejujuran lebih berharga daripada cerita karangan Prabowo - Gibran @Alexan9976  https://t.co/xh8knCB1DA,ganjar mahfud pasangan yang menunjukkan bahwa kejujuran lebih berharga daripada cerita karangan prabowo gibran,negatif
Prabowo - Gibran perlu belajar bahwa memenangkan hati rakyat tidak bisa dilakukan dengan cara memutarbalikkan fakta @faisaldrty  https://t.co/u2nIr1OX1m,prabowo gibran perlu belajar bahwa memenangkan hati rakyat tidak bisa dilakukan dengan cara memutarbalikkan fakta,negatif
Suara hati ratusan mantan kades: Prabowo-Gibran  pemimpin yang membawa perubahan positif  #Parlemen404 PurnaKuwu DukungPragibs https://t.co/GcP7hdqIQt,suara hati ratusan mantan kades prabowogibran pemimpin yang membawa perubahan positif purnakuwu dukungpragibs,positif
Ratusan mantan kades dan lurah di Cirebon memberikan dukungan penuh untuk Prabowo-Gibran  #Parlemen404 PurnaKuwu DukungPragibs https://t.co/x1B0Z21kCu,ratusan mantan kades dan lurah di cirebon memberikan dukungan penuh untuk prabowogibran purnakuwu dukungpragibs,positif
Dukungan penuh mantan kades untuk Prabowo-Gibran  bersama-sama kita bangun Indonesia yang lebih kuat!   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/e6a0k7nlsP,dukungan penuh mantan kades untuk prabowogibran bersamasama kita bangun indonesia yang lebih kuat purnakuwu dukungpragibs,positif
Klaim dukungan palsu Prabowo - Gibran hanya menciptakan citra negatif  sementara Ganjar - Mahfud tetap teguh sebagai pilihan yang terpercaya @Axenions_  https://t.co/ciZ8yLppT5,klaim dukungan palsu prabowo gibran hanya menciptakan citra negatif sementara ganjar mahfud tetap teguh sebagai pilihan yang terpercaya,negatif
Prabowo-Gibran semakin di atas angin dengan dukungan mantan kades dan lurah di Cirebon! 💪🔥   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/C8ydi5QGMQ,prabowogibran semakin di atas angin dengan dukungan mantan kades dan lurah di cirebon purnakuwu dukungpragibs,positif
Para pemimpin daerah mendukung  Prabowo-Gibran sebagai penjaga keamanan terdepan. https://t.co/SKQhmPmAmA,para pemimpin daerah mendukung prabowogibran sebagai penjaga keamanan terdepan,positif
Program unggulan Prabowo-Gibran yang fokus pada peningkatan kesejahteraan masyarakat mendapatkan dukungan penuh dari Jateng. @Mhmdfdn  https://t.co/BqAfIp1WDd,program unggulan prabowogibran yang fokus pada peningkatan kesejahteraan masyarakat mendapatkan dukungan penuh dari jateng,positif
Dukungan tulus dari mantan kades Cirebon untuk Prabowo-Gibran menyoroti pentingnya pemimpin yang berdedikasi dan tulus di panggung nasional.   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/koxRdJFk0z,dukungan tulus dari mantan kades cirebon untuk prabowogibran menyoroti pentingnya pemimpin yang berdedikasi dan tulus di panggung nasional purnakuwu dukungpragibs,positif
Para pemimpin sepakat  Prabowo-Gibran mampu menjaga keamanan dengan baik.   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/GTg3ZIJUAO,para pemimpin sepakat prabowogibran mampu menjaga keamanan dengan baik purnakuwu dukungpragibs,positif
Deklarasi hebat dari mantan kepala desa: Prabowo-Gibran mendapat dukungan utama di Cirebon!   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/MzvdSue5eb,deklarasi hebat dari mantan kepala desa prabowogibran mendapat dukungan utama di cirebon purnakuwu dukungpragibs,positif
Keputusan mantan pemimpin desa: Prabowo-Gibran  solusi untuk masa depan yang lebih baik  #Parlemen404 PurnaKuwu DukungPragibs https://t.co/lu38VuvMHv,keputusan mantan pemimpin desa prabowogibran solusi untuk masa depan yang lebih baik purnakuwu dukungpragibs,positif
Tanpa basa-basi  Prabowo-Gibran akan membawa perubahan nyata untuk kesejahteraan rakyat!   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/TmRZkbdSmo,tanpa basabasi prabowogibran akan membawa perubahan nyata untuk kesejahteraan rakyat purnakuwu dukungpragibs,positif
Pemimpin lokal bersatu  Prabowo-Gibran: penjaga keamanan yang tangguh.   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/qmn3oZ3Soi,pemimpin lokal bersatu prabowogibran penjaga keamanan yang tangguh purnakuwu dukungpragibs,positif
Pemimpin daerah setuju  Prabowo-Gibran: penjaga keamanan yang solid.   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/ApNYp4PFdm,pemimpin daerah setuju prabowogibran penjaga keamanan yang solid purnakuwu dukungpragibs,positif
Ikatan yang kuat dibangun dengan dukungan mantan kades. Keberanian Prabowo-Gibran membawa harapan untuk perubahan positif yang besar!  #Parlemen404 PurnaKuwu DukungPragibs https://t.co/mIl4j41Di1,ikatan yang kuat dibangun dengan dukungan mantan kades keberanian prabowogibran membawa harapan untuk perubahan positif yang besar purnakuwu dukungpragibs,positif
Ganjar - Mahfud MD telah teruji dan terpercaya  tidak seperti Prabowo - Gibran yang terlibat dalam kampanye berbasis kebohongan @275Bima  https://t.co/3Mxtk79aBP,ganjar mahfud md telah teruji dan terpercaya tidak seperti prabowo gibran yang terlibat dalam kampanye berbasis kebohongan,negatif
Prabowo - Gibran terjebak dalam narasi yang penuh tipu daya  berbeda dengan Ganjar - Mahfud yang menunjukkan integritasnya @Gindha13Surya  https://t.co/jDopCAFJRH,prabowo gibran terjebak dalam narasi yang penuh tipu daya berbeda dengan ganjar mahfud yang menunjukkan integritasnya,negatif
Prabowo-Gibran  dipercaya oleh ratusan mantan kades Cirebon sebagai pemimpin yang mampu meningkatkan daya saing Indonesia.   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/ej3OHyV8ZP,prabowogibran dipercaya oleh ratusan mantan kades cirebon sebagai pemimpin yang mampu meningkatkan daya saing indonesia purnakuwu dukungpragibs,positif
