,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,image_url,location,loc1,loc2,loc3
25,Wed Dec 06 05:42:53 +0000 2023,1732274391860535299,Prabowo-Gibran  garda terdepan dalam memperjuangkan hak asasi manusia di Indonesia.   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/FNg3rm3ytL,0,0,0,0,in,1657195953621995521,1732274391860535299,rismara89389678,https://twitter.com/rismara89389678/status/1732274391860535299,https://pbs.twimg.com/ext_tw_video_thumb/1732274327557754880/pu/img/X9zH22MNt6LAA90m.jpg,"nganjuk, indonesia",nganjuk,indonesia,
26,Mon Dec 11 07:04:34 +0000 2023,1734106886889517398,Prabowo - Gibran seolah lupa  rakyat Jawa Tengah punya mata dan telinga untuk melihat dan mendengar kebenaran @adam_habibsuku  https://t.co/l2gikIJtbS,0,0,0,0,in,1694970696018055168,1734106886889517398,NurdinAliif,https://twitter.com/NurdinAliif/status/1734106886889517398,,blitar,blitar,,
27,Mon Dec 11 06:59:16 +0000 2023,1734105550424776704,Prabowo - Gibran  jangan membuat pilpres seperti pertunjukan sulap  di mana segalanya bisa berubah tanpa alasan yang jelas @bayu_isWIND  https://t.co/L42uIHpHuP,0,0,0,0,in,1696459279790948352,1734105550424776704,mhmdgunaawan,https://twitter.com/mhmdgunaawan/status/1734105550424776704,,kediri,kediri,,
28,Sat Dec 09 10:08:00 +0000 2023,1733428272078479371,Hanya Anies-Cak Imin yang Kritik IKN  Ganjar-Mahfud dan Prabowo-Gibran Sepakat Melanjutkan - https://t.co/uvpCdL6Uy1,0,0,0,0,in,959859070575394816,1733428272078479371,Ponorogo_Berkah,https://twitter.com/Ponorogo_Berkah/status/1733428272078479371,,"ponorogo, indonesia",ponorogo,indonesia,
29,Wed Dec 06 05:36:42 +0000 2023,1732272833504632855,Mantan Kades di Cirebon solid  pilih Prabowo-Gibran untuk kesejahteraan!   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/MGJEcqNexM,0,0,0,0,in,1675522457971851265,1732272833504632855,janayudistira,https://twitter.com/janayudistira/status/1732272833504632855,https://pbs.twimg.com/ext_tw_video_thumb/1732272780056694784/pu/img/nbWygWxfsp7pgg73.jpg,"trenggalek, indonesia",trenggalek,indonesia,
30,Wed Dec 06 05:34:03 +0000 2023,1732272168111894990,Kontribusi penting dalam membangun kemenangan Prabowo-Gibran di tingkat lokal.   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/RKeS5ltXmn,0,0,0,0,in,1676075968447008770,1732272168111894990,cyyntia12,https://twitter.com/cyyntia12/status/1732272168111894990,https://pbs.twimg.com/ext_tw_video_thumb/1732272140781776896/pu/img/nqAZmnEzf-iEiGex.jpg,"batu, indonesia",batu,indonesia,
31,Mon Dec 11 06:56:50 +0000 2023,1734104939012755714,Prabowo - Gibran seakan lupa bahwa rakyat Jawa Tengah menghargai kejujuran lebih dari sekadar janji kosong @cepe_mtps  https://t.co/1iKNanOoW1,0,0,0,0,in,1689588974908854272,1734104939012755714,wndyristyan,https://twitter.com/wndyristyan/status/1734104939012755714,,probolinggo,probolinggo,,
32,Mon Dec 11 07:04:00 +0000 2023,1734106742735384781,Prabowo - Gibran  sebaiknya fokus pada visi nyata daripada menciptakan cerita karangan @Cutamine  https://t.co/wlj9hGBPl1,0,0,0,0,in,1688733071129128960,1734106742735384781,dessmelsar,https://twitter.com/dessmelsar/status/1734106742735384781,,blitar,blitar,,
33,Mon Dec 11 07:14:18 +0000 2023,1734109337453522987,Ganjar - Mahfud adalah harapan rakyat Jawa Tengah yang tidak terpengaruh oleh drama politik Prabowo - Gibran @cintaayahgepinn  https://t.co/QLXIXF47Kw,0,0,0,0,in,1695811134971072512,1734109337453522987,audyynzla,https://twitter.com/audyynzla/status/1734109337453522987,,malang,malang,,
34,Fri Nov 17 08:26:43 +0000 2023,1725430251558428885,Pemuda Asal Kota Malang merilis lagu untuk pasangan Prabowo Subianto - Gibran  Simak lagu seutuhnya  👇👇👇  https://t.co/xgxcfyh8b1 https://t.co/PfVhQxn6XK,0,0,0,0,in,1645506851667329026,1725430251558428885,imr_malangraya,https://twitter.com/imr_malangraya/status/1725430251558428885,https://pbs.twimg.com/ext_tw_video_thumb/1725430166695104512/pu/img/W-fHRuE319BlmDG6.jpg,"malang, jawa timur",malang,jawa timur,
35,Mon Dec 11 07:10:28 +0000 2023,1734108372218315206,Warga Wadas tidak akan terlalu mudah terpikat oleh trik politik Prabowo - Gibran  karena mereka menghargai kejujuran @giovanha_o7  https://t.co/qdoyysrNnQ,0,0,0,0,in,1689857248745734144,1734108372218315206,lunaalmira74576,https://twitter.com/lunaalmira74576/status/1734108372218315206,,pasuruan,pasuruan,,
36,Mon Dec 11 06:56:57 +0000 2023,1734104967815078336,Jangan biarkan dongeng Prabowo - Gibran merusak citra politik yang seharusnya bermoral @AA4Twit  https://t.co/nrFvedPM9h,0,0,0,0,in,1679759131266420737,1734104967815078336,DeswitaSar,https://twitter.com/DeswitaSar/status/1734104967815078336,,probolinggo,probolinggo,,
37,Sun Dec 10 13:19:18 +0000 2023,1733838804472197531,Keberanian Prabowo-Gibran untuk menghadapi tantangan menjadi inspirasi bagi masyarakat Surabaya yang juga berjuang dalam kehidupan sehari-hari. @faridwawaaa  https://t.co/vute4WMjZK,0,0,0,0,in,1678680272097923072,1733838804472197531,SusiLawaatii,https://twitter.com/SusiLawaatii/status/1733838804472197531,,batu,batu,,
38,Mon Dec 11 07:04:02 +0000 2023,1734106752638206252,Pembohongan Prabowo - Gibran terkait dukungan Wadas di Pilpres 2024 hanya menggambarkan ketidakjujuran dalam mendapatkan dukungan rakyat @apisspikul  https://t.co/ph6cxhCAQt,0,0,0,0,in,1687355027009200128,1734106752638206252,MystiqueIr84864,https://twitter.com/MystiqueIr84864/status/1734106752638206252,,pasuruan,pasuruan,,
39,Wed Dec 06 22:00:26 +0000 2023,1732520398951191007,Kualitas Prabowo dan Gibran rendah  rakyat jangan mau dipermainkan @Santynuryanti3 Belimbing Sayur https://t.co/Aqg1uklXqP,0,0,0,0,in,1712764010075197440,1732520398951191007,Yogamusnair,https://twitter.com/Yogamusnair/status/1732520398951191007,https://pbs.twimg.com/ext_tw_video_thumb/1732520380227899392/pu/img/g96Y_dz7Fg8HyrYL.jpg,batu,batu,,
40,Mon Dec 11 07:06:15 +0000 2023,1734107310291882280,Prabowo - Gibran  jangan seperti penjual obat palsu yang cuma bikin gebrakan iklan tapi nol prestasi @batara_muhlis  https://t.co/JoFxHfnQvQ,0,0,0,0,in,1686274284929548288,1734107310291882280,PatMaulana,https://twitter.com/PatMaulana/status/1734107310291882280,,malang,malang,,
41,Mon Dec 11 07:12:59 +0000 2023,1734109006418034919,Rakyat Jawa Tengah takkan lupa bahwa kejujuran lebih berharga daripada trik politik Prabowo - Gibran @Faceless_vo1d  https://t.co/f9DmqoSdRj,0,0,0,0,in,1685983719826558978,1734109006418034919,tonybagassss,https://twitter.com/tonybagassss/status/1734109006418034919,,malang,malang,,
43,Wed Dec 06 05:41:58 +0000 2023,1732274159139578050,Sinar harapan dari mantan kades  bersama Prabowo-Gibran  kita bisa mencapai kejayaan yang lebih tinggi!   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/GLuMltflqV,0,0,0,0,in,1637717794765811712,1732274159139578050,echanovian91297,https://twitter.com/echanovian91297/status/1732274159139578050,https://pbs.twimg.com/ext_tw_video_thumb/1732273904528621568/pu/img/UF2DExuyeml2FO3f.jpg,"bondowoso, indonesia",bondowoso,indonesia,
44,Mon Dec 11 07:01:35 +0000 2023,1734106134964060265,Ganjar - Mahfud  pasangan yang diinginkan rakyat Jawa Tengah  bukan drama politik yang dijual oleh Prabowo - Gibran @AbdulHarist  https://t.co/MhzTpsxlNV,0,0,0,0,in,1678415049608577027,1734106134964060265,sitihamdia45295,https://twitter.com/sitihamdia45295/status/1734106134964060265,,probolinggo,probolinggo,,
45,Wed Dec 06 05:45:14 +0000 2023,1732274984058528072,Suara persetujuan dari pemimpin  Prabowo-Gibran diakui sebagai penjaga keamanan utama.   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/svkXfuNSlw,0,0,0,0,in,1719219900974350336,1732274984058528072,WastutiAgn18794,https://twitter.com/WastutiAgn18794/status/1732274984058528072,https://pbs.twimg.com/ext_tw_video_thumb/1732274962495614976/pu/img/WGAEsuuOy6Wg5m-l.jpg,"purworejo, indonesia",purworejo,indonesia,
46,Mon Dec 11 07:13:03 +0000 2023,1734109020053717474,Prabowo - Gibran seharusnya belajar bahwa politik bukanlah panggung sandiwara untuk menipu rakyat @atapu3000  https://t.co/CtNGC8MsBX,0,0,0,0,in,1679790741151965184,1734109020053717474,DeniHerwantoo,https://twitter.com/DeniHerwantoo/status/1734109020053717474,,probolinggo,probolinggo,,
47,Mon Dec 11 07:13:42 +0000 2023,1734109184441090496,Prabowo - Gibran seharusnya belajar bahwa kejujuran adalah pondasi yang kokoh untuk membangun dukungan rakyat @ArdhieRianda  https://t.co/IXkUQamvPv,0,0,0,0,in,1687312307486146560,1734109184441090496,IrisEclips49881,https://twitter.com/IrisEclips49881/status/1734109184441090496,,kediri,kediri,,
48,Mon Dec 11 07:15:20 +0000 2023,1734109597705900394,Prabowo - Gibran keliru jika mengira rakyat Jawa Tengah mudah terpengaruh oleh cerita karangan mereka @AndhykaNandaa  https://t.co/IPHDCXv5ks,0,0,0,0,in,1680840353472196608,1734109597705900394,AyuSahdila,https://twitter.com/AyuSahdila/status/1734109597705900394,,madiun,madiun,,
49,Mon Dec 11 07:10:41 +0000 2023,1734108424957505966,Pemilih cerdas rakyat Jawa Tengah akan melihat melampaui klaim kosong Prabowo - Gibran dan memilih yang memiliki track record terbaik @dmsccr  https://t.co/vOXOaPOP7u,0,0,0,0,in,1686203121729716224,1734108424957505966,kevindimas86767,https://twitter.com/kevindimas86767/status/1734108424957505966,,pasuruan,pasuruan,,
50,Mon Dec 11 07:01:41 +0000 2023,1734106160826143148,Prabowo - Gibran  dukungan palsu hanya akan merusak citra kalian di mata rakyat Jawa Tengah yang cerdas @alfhatpit  https://t.co/ey9Nt1jmav,0,0,0,0,in,1687318493816147968,1734106160826143148,NovaSky8179389,https://twitter.com/NovaSky8179389/status/1734106160826143148,,malang,malang,,
51,Wed Dec 06 05:40:15 +0000 2023,1732273728724353364,Dukungan tulus ratusan mantan kades Cirebon untuk Prabowo-Gibran mencerminkan kebutuhan akan kepemimpinan yang berani dan tulus di Indonesia.   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/uEjPRt6oH8,0,0,0,0,in,1717887619504484352,1732273728724353364,azura_ailee,https://twitter.com/azura_ailee/status/1732273728724353364,https://pbs.twimg.com/ext_tw_video_thumb/1732273613179670528/pu/img/VoqLYwgcl7619WVZ.jpg,"malang, jawa timur",malang,jawa timur,
52,Mon Dec 11 07:18:15 +0000 2023,1734110329221808482,Pemilihan bukan ajang drama  Prabowo - Gibran seharusnya fokus pada kejujuran dan kinerja nyata @galangkurniaa  https://t.co/6ZBIkRycsR,0,0,0,0,in,1691001017343807490,1734110329221808482,RisnaSahira,https://twitter.com/RisnaSahira/status/1734110329221808482,,blitar,blitar,,
53,Wed Dec 06 09:49:29 +0000 2023,1732336451369783358,Dukungan mantan Kades Cirebon mengalir tulus untuk Prabowo-Gibran! https://t.co/mOpPR7LJWS,0,0,0,0,in,1699283723035070464,1732336451369783358,HafidzRain36,https://twitter.com/HafidzRain36/status/1732336451369783358,https://pbs.twimg.com/ext_tw_video_thumb/1732336423582478336/pu/img/8nItRkHYZmhuu440.jpg,"trenggalek, indonesia",trenggalek,indonesia,
54,Wed Dec 06 05:43:03 +0000 2023,1732274432293613829,Dukungan utuh dari pemimpin lokal  Prabowo-Gibran sebagai penjamin keamanan yang handal.   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/1adl13ELlZ,0,0,0,0,in,1719218139349872640,1732274432293613829,AmongJ74254,https://twitter.com/AmongJ74254/status/1732274432293613829,https://pbs.twimg.com/ext_tw_video_thumb/1732274410491625472/pu/img/o3Y1yFEplaUfoFWe.jpg,malang,malang,,
55,Wed Dec 06 05:37:38 +0000 2023,1732273069098664134,Ratusan Mantan Kades Cirebon yakin  Prabowo-Gibran pemimpin yang membangkitkan semangat!   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/MAiPCDXCNs,0,0,0,0,in,1671722460201512960,1732273069098664134,sakinahyuna,https://twitter.com/sakinahyuna/status/1732273069098664134,https://pbs.twimg.com/ext_tw_video_thumb/1732272915960520704/pu/img/jiHVvhH5EdmwiQXW.jpg,"trenggalek, indonesia",trenggalek,indonesia,
56,Fri Dec 08 11:35:29 +0000 2023,1733087900949233739,Mantabbb... Gassss PrabowoGibran satu putaran,0,0,0,0,in,1286961182016847872,1733087900949233739,Esteht4war,https://twitter.com/Esteht4war/status/1733087900949233739,,malang,malang,,
57,Mon Dec 11 07:04:00 +0000 2023,1734106743771414552,Prabowo - Gibran keliru jika mengira manipulasi akan membawanya meraih dukungan sejati dari Jawa Tengah @Adrasma  https://t.co/LLsaReJ3Gl,0,0,0,0,in,1691319627165687808,1734106743771414552,mhmmdzaki38,https://twitter.com/mhmmdzaki38/status/1734106743771414552,,batu,batu,,
58,Mon Dec 11 06:56:54 +0000 2023,1734104957346021873,Warga Wadas menegaskan bahwa mereka tak terombang-ambing oleh klaim palsu Prabowo - Gibran @faizullllllll  https://t.co/DFL6wd1Rxg,0,0,0,0,in,1690998326077128704,1734104957346021873,setiiawaan_rudy,https://twitter.com/setiiawaan_rudy/status/1734104957346021873,,batu,batu,,
59,Mon Dec 11 07:14:32 +0000 2023,1734109393602678793,Rakyat Jawa Tengah tahu bahwa kualitas pemimpin tak dapat diukur dari seberapa sering mereka muncul di media  tapi dari kinerja nyata  seperti yang ditunjukkan oleh Ganjar - Mahfud @garagaraarga https://t.co/9YcFyEKJ1M,0,0,0,0,in,1691011065872896001,1734109393602678793,bambangwijaya71,https://twitter.com/bambangwijaya71/status/1734109393602678793,,"pasuruan, jawa timur",pasuruan,jawa timur,
60,Mon Dec 11 07:02:11 +0000 2023,1734106286130872509,Prabowo - Gibran  seolah-olah bermain catur dengan trik curang  tetapi rakyat Jawa Tengah mengetahui bahwa Ganjar - Mahfud adalah ratu yang sesungguhnya @amorokoo  https://t.co/g8MpmENNhw,0,0,0,0,in,1683378040364208128,1734106286130872509,watisriwti,https://twitter.com/watisriwti/status/1734106286130872509,,pasuruan,pasuruan,,
61,Mon Dec 11 07:45:26 +0000 2023,1734117169628414407,Prabowo - Gibran  seberapa sering lagi kalian akan mencoba menipu rakyat Jawa Tengah dengan klaim tanpa dasar? @iwan2014gemini  https://t.co/ylJrX8DF6q,0,0,0,0,in,1689512701041725440,1734117169628414407,KikiSarmin55966,https://twitter.com/KikiSarmin55966/status/1734117169628414407,,blitar,blitar,,
62,Mon Dec 11 07:15:51 +0000 2023,1734109726315844061,Warga Wadas menegaskan bahwa mereka tidak terlibat dalam drama pembohongan Prabowo - Gibran @Dimas2219801496  https://t.co/oZOe7tJaBx,0,0,0,0,in,1685978755645554688,1734109726315844061,ilonaayu64,https://twitter.com/ilonaayu64/status/1734109726315844061,,madiun,madiun,,
63,Wed Dec 06 05:34:39 +0000 2023,1732272319438245938,Semangat persatuan! Ratusan Mantan Kades di Cirebon deklarasikan dukungan ke Prabowo-Gibran.   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/PPSG7pSNtr,0,0,0,0,in,1675517919948861445,1732272319438245938,revandebran,https://twitter.com/revandebran/status/1732272319438245938,https://pbs.twimg.com/ext_tw_video_thumb/1732272166014742528/pu/img/MGZ1ENOWqENmolZG.jpg,"lumajang, indonesia",lumajang,indonesia,
64,Mon Dec 11 07:03:45 +0000 2023,1734106682375225740,Dukungan warga Wadas seharusnya didasarkan pada kenyataan  bukan atas pembohongan Prabowo - Gibran @arankaru  https://t.co/QHPHmGdOv3,0,0,0,0,in,1703336217339998208,1734106682375225740,FirmanNgrhh,https://twitter.com/FirmanNgrhh/status/1734106682375225740,,malang,malang,,
65,Wed Dec 06 05:37:52 +0000 2023,1732273126850097285,Keberanian Prabowo-Gibran didukung oleh mantan kades  menjanjikan perubahan positif yang luar biasa!   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/GROajc0UGD,0,0,0,0,in,1655790837597622273,1732273126850097285,dewiputri333,https://twitter.com/dewiputri333/status/1732273126850097285,https://pbs.twimg.com/ext_tw_video_thumb/1732272996939931648/pu/img/-ljDVH4AcVt1zKJc.jpg,"batu, indonesia",batu,indonesia,
66,Tue Dec 12 01:48:43 +0000 2023,1734389785924653377,@MuhidinEman @_BangFu @azhariahrachman dia pendukung prabowo gibran bang btw,0,1,0,1,in,1624453770846556161,1734253434684227727,NebGalau,https://twitter.com/NebGalau/status/1734389785924653377,,"malang, jawa timur",malang,jawa timur,
67,Mon Dec 11 06:59:09 +0000 2023,1734105521781866779,Prabowo - Gibran mungkin mahir bermain politik  tapi kebohongan mereka akan terus terbongkar oleh kecerdasan rakyat Jawa Tengah @BacodSetn  https://t.co/yAtY0g42pl,0,0,0,0,in,1689559465572605952,1734105521781866779,nadyaaptriii,https://twitter.com/nadyaaptriii/status/1734105521781866779,,kediri,kediri,,
68,Mon Dec 11 06:56:51 +0000 2023,1734104946209890584,Prabowo - Gibran mungkin berharap dapat merayu rakyat dengan klaim tak bertanggung jawab @abil4ble  https://t.co/lvjJ1HqLJ9,0,0,0,0,in,1683667016589377536,1734104946209890584,putraangga_6,https://twitter.com/putraangga_6/status/1734104946209890584,,batu,batu,,
69,Wed Dec 06 05:59:25 +0000 2023,1732278549393047861,Semangat perubahan yang signifikan terpancar dari fokus mantan kepala desa di Kota/Kabupaten Cirebon pada kepemimpinan Prabowo-Gibran. https://t.co/Ru3ALYvUVM,0,0,0,0,in,1715359945091354624,1732278549393047861,lita_ristia,https://twitter.com/lita_ristia/status/1732278549393047861,https://pbs.twimg.com/ext_tw_video_thumb/1732278499334037504/pu/img/e5qD3DVlL6z4OMXD.jpg,"purworejo, indonesia",purworejo,indonesia,
70,Mon Dec 11 07:01:43 +0000 2023,1734106169076338882,Prabowo - Gibran seolah menganggap politik sebagai panggung drama  di mana kebohongan bisa dianggap sebagai skenario yang sah @Caberawitpedas1  https://t.co/a28OsDATAE,0,0,0,0,in,1685950314510483456,1734106169076338882,raffiaditiyaaaa,https://twitter.com/raffiaditiyaaaa/status/1734106169076338882,,batu,batu,,
71,Mon Dec 11 07:03:58 +0000 2023,1734106734657245489,Rakyat Jawa Tengah bijak  mereka tahu mana yang benar  Ganjar - Mahfud adalah pilihan mereka @bu_thio  https://t.co/v3lfZlFOZs,0,0,0,0,in,1686101924758839302,1734106734657245489,ardanarr_,https://twitter.com/ardanarr_/status/1734106734657245489,,blitar,blitar,,
