full_text,text_clean,token,stop,stemmed,polarity_score,polarity
"Bagaimanapun masyarakat akan lebih cenderung untuk memilih: MELANJUTKAN atau PERUBAHAN.  Yang melanjutkan"" itu memilih Prabowo-Gibran. Yang ""perubahan"" itu memilih Anies-Muhaimin.  Ganjar-Mahfud itu kurang kuat positioningnya. Nanggung. Narasi buzzernya membenci Jokowi tapi… https://t.co/wndcOxeTTf""",bagaimanapun masyarakat akan lebih cenderung untuk memilih melanjutkan atau perubahan yang melanjutkan itu memilih prabowogibran yang perubahan itu memilih aniesmuhaimin ganjarmahfud itu kurang kuat positioningnya nanggung narasi buzzernya membenci jokowi tapi,"['bagaimanapun', 'masyarakat', 'akan', 'lebih', 'cenderung', 'untuk', 'memilih', 'melanjutkan', 'atau', 'perubahan', 'yang', 'melanjutkan', 'itu', 'memilih', 'prabowogibran', 'yang', 'perubahan', 'itu', 'memilih', 'aniesmuhaimin', 'ganjarmahfud', 'itu', 'kurang', 'kuat', 'positioningnya', 'nanggung', 'narasi', 'buzzernya', 'membenci', 'jokowi', 'tapi']","['masyarakat', 'lebih', 'cenderung', 'memilih', 'melanjutkan', 'perubahan', 'melanjutkan', 'memilih', 'prabowogibran', 'perubahan', 'memilih', 'aniesmuhaimin', 'ganjarmahfud', 'kurang', 'kuat', 'positioningnya', 'nanggung', 'narasi', 'buzzernya', 'membenci', 'jokowi']","['masyarakat', 'lebih', 'cenderung', 'pilih', 'lanjut', 'ubah', 'lanjut', 'pilih', 'prabowogibran', 'ubah', 'pilih', 'aniesmuhaimin', 'ganjarmahfud', 'kurang', 'kuat', 'positioningnya', 'nanggung', 'narasi', 'buzzernya', 'benci', 'jokowi']",-22,negative
idolaku semua Prabowo-Gibran pemimpin yang dekat dan memikirkan rakyat #GibranMendengar https://t.co/PzCdCOuJL7,idolaku semua prabowogibran pemimpin yang dekat dan memikirkan rakyat,"['idolaku', 'semua', 'prabowogibran', 'pemimpin', 'yang', 'dekat', 'dan', 'memikirkan', 'rakyat']","['idolaku', 'semua', 'prabowogibran', 'pemimpin', 'dekat', 'memikirkan', 'rakyat']","['idola', 'semua', 'prabowogibran', 'pimpin', 'dekat', 'pikir', 'rakyat']",-10,negative
Apakah ada yang lebih mampu dari Gibran sebagai cawapres Prabowo? Tentu ada. Kenapa dipilih? Karena Gibran membawa elektabilitas Jokowi untuk memenangkan Prabowo.  Apakah ada yang lebih mampu dari Kaesang sebagai Ketum PSI? Tentu ada. Kenapa dipilih? Karena Kaesang membawa…,apakah ada yang lebih mampu dari gibran sebagai cawapres prabowo tentu ada kenapa dipilih karena gibran membawa elektabilitas jokowi untuk memenangkan prabowo apakah ada yang lebih mampu dari kaesang sebagai ketum psi tentu ada kenapa dipilih karena kaesang membawa,"['apakah', 'ada', 'yang', 'lebih', 'mampu', 'dari', 'gibran', 'sebagai', 'cawapres', 'prabowo', 'tentu', 'ada', 'kenapa', 'dipilih', 'karena', 'gibran', 'membawa', 'elektabilitas', 'jokowi', 'untuk', 'memenangkan', 'prabowo', 'apakah', 'ada', 'yang', 'lebih', 'mampu', 'dari', 'kaesang', 'sebagai', 'ketum', 'psi', 'tentu', 'ada', 'kenapa', 'dipilih', 'karena', 'kaesang', 'membawa']","['lebih', 'mampu', 'gibran', 'cawapres', 'prabowo', 'dipilih', 'gibran', 'membawa', 'elektabilitas', 'jokowi', 'memenangkan', 'prabowo', 'lebih', 'mampu', 'kaesang', 'ketum', 'psi', 'dipilih', 'kaesang', 'membawa']","['lebih', 'mampu', 'gibran', 'cawapres', 'prabowo', 'pilih', 'gibran', 'bawa', 'elektabilitas', 'jokowi', 'menang', 'prabowo', 'lebih', 'mampu', 'kaesang', 'tum', 'psi', 'pilih', 'kaesang', 'bawa']",-11,negative
Sempat terbersit berharap Ganjar menang dan PDIP tidak juara 1 [di Pileg. Namun rasanya bakal kebalik  Ganjar kalah dan PDIP tetap memimpin Senayan.  Terlalu berat mengungguli PDIP. Terlalu berat mengalahkan Prabowo-Gibran.,sempat terbersit berharap ganjar menang dan pdip tidak juara di pileg namun rasanya bakal kebalik ganjar kalah dan pdip tetap memimpin senayan terlalu berat mengungguli pdip terlalu berat mengalahkan prabowogibran,"['sempat', 'terbersit', 'berharap', 'ganjar', 'menang', 'dan', 'pdip', 'tidak', 'juara', 'di', 'pileg', 'namun', 'rasanya', 'bakal', 'kebalik', 'ganjar', 'kalah', 'dan', 'pdip', 'tetap', 'memimpin', 'senayan', 'terlalu', 'berat', 'mengungguli', 'pdip', 'terlalu', 'berat', 'mengalahkan', 'prabowogibran']","['sempat', 'terbersit', 'berharap', 'ganjar', 'menang', 'pdip', 'juara', 'pileg', 'rasanya', 'bakal', 'kebalik', 'ganjar', 'kalah', 'pdip', 'tetap', 'memimpin', 'senayan', 'terlalu', 'berat', 'mengungguli', 'pdip', 'terlalu', 'berat', 'mengalahkan', 'prabowogibran']","['sempat', 'bersit', 'harap', 'ganjar', 'menang', 'pdip', 'juara', 'pileg', 'rasa', 'bakal', 'balik', 'ganjar', 'kalah', 'pdip', 'tetap', 'pimpin', 'senayan', 'terlalu', 'berat', 'unggul', 'pdip', 'terlalu', 'berat', 'kalah', 'prabowogibran']",-13,negative
"Sujiwo Tejo saja takut dianggap sebagai pendukung Prabowo ketika mengatakan bahwa dari ketiga capres  ya cuma Prabowo yang tidak plastik"".  Memang berpendapat obyektif itu selalu berpotensi dituduh sebagai pendukung.  Itu pendapat Mbah Tejo. Faktanya Prabowo paling nggak bisa…""",sujiwo tejo saja takut dianggap sebagai pendukung prabowo ketika mengatakan bahwa dari ketiga capres ya cuma prabowo yang tidak plastik memang berpendapat obyektif itu selalu berpotensi dituduh sebagai pendukung itu pendapat mbah tejo faktanya prabowo paling nggak bisa,"['sujiwo', 'tejo', 'saja', 'takut', 'dianggap', 'sebagai', 'pendukung', 'prabowo', 'ketika', 'mengatakan', 'bahwa', 'dari', 'ketiga', 'capres', 'ya', 'cuma', 'prabowo', 'yang', 'tidak', 'plastik', 'memang', 'berpendapat', 'obyektif', 'itu', 'selalu', 'berpotensi', 'dituduh', 'sebagai', 'pendukung', 'itu', 'pendapat', 'mbah', 'tejo', 'faktanya', 'prabowo', 'paling', 'nggak', 'bisa']","['sujiwo', 'tejo', 'takut', 'dianggap', 'pendukung', 'prabowo', 'mengatakan', 'ketiga', 'capres', 'cuma', 'prabowo', 'plastik', 'memang', 'berpendapat', 'obyektif', 'selalu', 'berpotensi', 'dituduh', 'pendukung', 'pendapat', 'mbah', 'tejo', 'faktanya', 'prabowo', 'paling']","['sujiwo', 'tejo', 'takut', 'anggap', 'dukung', 'prabowo', 'kata', 'tiga', 'capres', 'cuma', 'prabowo', 'plastik', 'memang', 'dapat', 'obyektif', 'selalu', 'potensi', 'tuduh', 'dukung', 'dapat', 'mbah', 'tejo', 'fakta', 'prabowo', 'paling']",3,positive
"Bola dibawa Anies. Anies oper ke Ganjar. Ganjar oper lagi ke Anies. Anies menggiring bola. Dioper kembali ke Ganjar. Barisan belakang Prabowo kebingungan. Bola ditendang keras ke gawang oleh Ganjar  dan goooool....""  Itu suara komentator di radio...""",bola dibawa anies anies oper ke ganjar ganjar oper lagi ke anies anies menggiring bola dioper kembali ke ganjar barisan belakang prabowo kebingungan bola ditendang keras ke gawang oleh ganjar dan goooool itu suara komentator di radio,"['bola', 'dibawa', 'anies', 'anies', 'oper', 'ke', 'ganjar', 'ganjar', 'oper', 'lagi', 'ke', 'anies', 'anies', 'menggiring', 'bola', 'dioper', 'kembali', 'ke', 'ganjar', 'barisan', 'belakang', 'prabowo', 'kebingungan', 'bola', 'ditendang', 'keras', 'ke', 'gawang', 'oleh', 'ganjar', 'dan', 'goooool', 'itu', 'suara', 'komentator', 'di', 'radio']","['bola', 'dibawa', 'anies', 'anies', 'oper', 'ganjar', 'ganjar', 'oper', 'anies', 'anies', 'menggiring', 'bola', 'dioper', 'ganjar', 'barisan', 'belakang', 'prabowo', 'kebingungan', 'bola', 'ditendang', 'keras', 'gawang', 'ganjar', 'goooool', 'suara', 'komentator', 'radio']","['bola', 'bawa', 'anies', 'anies', 'oper', 'ganjar', 'ganjar', 'oper', 'anies', 'anies', 'giring', 'bola', 'oper', 'ganjar', 'baris', 'belakang', 'prabowo', 'bingung', 'bola', 'tendang', 'keras', 'gawang', 'ganjar', 'goooool', 'suara', 'komentator', 'radio']",4,positive
Saya membayangkan betapa pusingnya timnya Prabowo-Gibran menyiapkan dan mengatur kedua orang itu saat akan debat.  Mau ngatur orang model Prabowo dan Gibran... Pusing...,saya membayangkan betapa pusingnya timnya prabowogibran menyiapkan dan mengatur kedua orang itu saat akan debat mau ngatur orang model prabowo dan gibran pusing,"['saya', 'membayangkan', 'betapa', 'pusingnya', 'timnya', 'prabowogibran', 'menyiapkan', 'dan', 'mengatur', 'kedua', 'orang', 'itu', 'saat', 'akan', 'debat', 'mau', 'ngatur', 'orang', 'model', 'prabowo', 'dan', 'gibran', 'pusing']","['membayangkan', 'betapa', 'pusingnya', 'timnya', 'prabowogibran', 'menyiapkan', 'mengatur', 'kedua', 'orang', 'debat', 'mau', 'ngatur', 'orang', 'model', 'prabowo', 'gibran', 'pusing']","['bayang', 'betapa', 'pusing', 'tim', 'prabowogibran', 'siap', 'atur', 'dua', 'orang', 'debat', 'mau', 'ngatur', 'orang', 'model', 'prabowo', 'gibran', 'pusing']",3,positive
@NoviBudi78 @aniesbaswedan @ganjarpranowo @prabowo Klo rakyat Tdk suka Prabowo.... Jangan pilih Prabowo.... Lgsg dijwb sama rakyat......  Cukup satu putaran saja https://t.co/GFxAGeZYTr,klo rakyat tdk suka prabowo jangan pilih prabowo lgsg dijwb sama rakyat cukup satu putaran saja,"['klo', 'rakyat', 'tdk', 'suka', 'prabowo', 'jangan', 'pilih', 'prabowo', 'lgsg', 'dijwb', 'sama', 'rakyat', 'cukup', 'satu', 'putaran', 'saja']","['klo', 'rakyat', 'tdk', 'suka', 'prabowo', 'jangan', 'pilih', 'prabowo', 'lgsg', 'dijwb', 'sama', 'rakyat', 'cukup', 'satu', 'putaran']","['klo', 'rakyat', 'tdk', 'suka', 'prabowo', 'jangan', 'pilih', 'prabowo', 'lgsg', 'dijwb', 'sama', 'rakyat', 'cukup', 'satu', 'putar']",-3,negative
@adearmando61 Kurang apa coba 2014 20 lembaga survey sdh menangkan prabowo tpi gk d lantik2 juga https://t.co/AYVKUQLvnt,kurang apa coba lembaga survey sdh menangkan prabowo tpi gk lantik juga,"['kurang', 'apa', 'coba', 'lembaga', 'survey', 'sdh', 'menangkan', 'prabowo', 'tpi', 'gk', 'lantik', 'juga']","['kurang', 'apa', 'coba', 'lembaga', 'survey', 'sdh', 'menangkan', 'prabowo', 'tpi', 'gk', 'lantik']","['kurang', 'apa', 'coba', 'lembaga', 'survey', 'sdh', 'menang', 'prabowo', 'tpi', 'gk', 'lantik']",-6,negative
Tebakan saya nanti di Debat yang ada Cawapresnya:  Gibran akan memakai template sama dengan yang dipakai Prabowo:  1. Saya setuju dengan pendapat Paslon 1 dan (atau) 3. 2. Kita kembalikan ke rakyat. Anda boleh mengatakan kami salah (apapun kasusnya)  namun yang akan menilai…,tebakan saya nanti di debat yang ada cawapresnya gibran akan memakai template sama dengan yang dipakai prabowo saya setuju dengan pendapat paslon dan atau kita kembalikan ke rakyat anda boleh mengatakan kami salah apapun kasusnya namun yang akan menilai,"['tebakan', 'saya', 'nanti', 'di', 'debat', 'yang', 'ada', 'cawapresnya', 'gibran', 'akan', 'memakai', 'template', 'sama', 'dengan', 'yang', 'dipakai', 'prabowo', 'saya', 'setuju', 'dengan', 'pendapat', 'paslon', 'dan', 'atau', 'kita', 'kembalikan', 'ke', 'rakyat', 'anda', 'boleh', 'mengatakan', 'kami', 'salah', 'apapun', 'kasusnya', 'namun', 'yang', 'akan', 'menilai']","['tebakan', 'debat', 'cawapresnya', 'gibran', 'memakai', 'template', 'sama', 'dipakai', 'prabowo', 'setuju', 'pendapat', 'paslon', 'kembalikan', 'rakyat', 'mengatakan', 'salah', 'apapun', 'kasusnya', 'menilai']","['tebak', 'debat', 'cawapresnya', 'gibran', 'pakai', 'template', 'sama', 'pakai', 'prabowo', 'tuju', 'dapat', 'paslon', 'kembali', 'rakyat', 'kata', 'salah', 'apa', 'kasus', 'nilai']",3,positive
Percuma dipoles dg : Gemoy..Gemoy Karena Prabowo masih sama.  Emosional  mudah terpancing amarah  saat merasa tersudut akan langsung dikeluarkan lewat nada bicaranya yang meletup-letup tidak karuan. Tempramental sudah menjadi bagian dari dirinya.  Ganjar Paling Tegas https://t.co/zsWTAFqvVj,percuma dipoles dg gemoygemoy karena prabowo masih sama emosional mudah terpancing amarah saat merasa tersudut akan langsung dikeluarkan lewat nada bicaranya yang meletupletup tidak karuan tempramental sudah menjadi bagian dari dirinya ganjar paling tegas,"['percuma', 'dipoles', 'dg', 'gemoygemoy', 'karena', 'prabowo', 'masih', 'sama', 'emosional', 'mudah', 'terpancing', 'amarah', 'saat', 'merasa', 'tersudut', 'akan', 'langsung', 'dikeluarkan', 'lewat', 'nada', 'bicaranya', 'yang', 'meletupletup', 'tidak', 'karuan', 'tempramental', 'sudah', 'menjadi', 'bagian', 'dari', 'dirinya', 'ganjar', 'paling', 'tegas']","['percuma', 'dipoles', 'dg', 'gemoygemoy', 'prabowo', 'sama', 'emosional', 'mudah', 'terpancing', 'amarah', 'merasa', 'tersudut', 'langsung', 'dikeluarkan', 'lewat', 'nada', 'bicaranya', 'meletupletup', 'karuan', 'tempramental', 'menjadi', 'bagian', 'dirinya', 'ganjar', 'paling', 'tegas']","['percuma', 'poles', 'dg', 'gemoygemoy', 'prabowo', 'sama', 'emosional', 'mudah', 'pancing', 'amarah', 'rasa', 'sudut', 'langsung', 'keluar', 'lewat', 'nada', 'bicara', 'meletupletup', 'karuan', 'tempramental', 'jadi', 'bagi', 'diri', 'ganjar', 'paling', 'tegas']",-4,negative
Yang penting banteng dan ganjar nyungsep duluan di putaran pertama... Di putaran kedua prabowo akan kami tumbangkan... #AniesPresiden2024  #AniesCerdas #AniesTerpelajar,yang penting banteng dan ganjar nyungsep duluan di putaran pertama di putaran kedua prabowo akan kami tumbangkan,"['yang', 'penting', 'banteng', 'dan', 'ganjar', 'nyungsep', 'duluan', 'di', 'putaran', 'pertama', 'di', 'putaran', 'kedua', 'prabowo', 'akan', 'kami', 'tumbangkan']","['penting', 'banteng', 'ganjar', 'nyungsep', 'duluan', 'putaran', 'pertama', 'putaran', 'kedua', 'prabowo', 'tumbangkan']","['penting', 'banteng', 'ganjar', 'nyungsep', 'duluan', 'putar', 'pertama', 'putar', 'dua', 'prabowo', 'tumbang']",-8,negative
@Leonita_Lestari Jokowi rela merendahkan diri demi menaikkan derajat prabowo  ada yg salah dengan jokowi  tadinya sudah kasih clue mengarah no 3 kok tiba2 berubah ya  sungguh membagongkan  pasti ada sesuatu  prestasi 9 tahun ditutup dengan ending yang nggak jelas.,jokowi rela merendahkan diri demi menaikkan derajat prabowo ada yg salah dengan jokowi tadinya sudah kasih clue mengarah no kok tiba berubah ya sungguh membagongkan pasti ada sesuatu prestasi tahun ditutup dengan ending yang nggak jelas,"['jokowi', 'rela', 'merendahkan', 'diri', 'demi', 'menaikkan', 'derajat', 'prabowo', 'ada', 'yg', 'salah', 'dengan', 'jokowi', 'tadinya', 'sudah', 'kasih', 'clue', 'mengarah', 'no', 'kok', 'tiba', 'berubah', 'ya', 'sungguh', 'membagongkan', 'pasti', 'ada', 'sesuatu', 'prestasi', 'tahun', 'ditutup', 'dengan', 'ending', 'yang', 'nggak', 'jelas']","['jokowi', 'rela', 'merendahkan', 'diri', 'menaikkan', 'derajat', 'prabowo', 'yg', 'salah', 'jokowi', 'tadinya', 'kasih', 'clue', 'mengarah', 'no', 'kok', 'tiba', 'berubah', 'sungguh', 'membagongkan', 'prestasi', 'tahun', 'ditutup', 'ending', 'jelas']","['jokowi', 'rela', 'rendah', 'diri', 'naik', 'derajat', 'prabowo', 'yg', 'salah', 'jokowi', 'tadi', 'kasih', 'clue', 'arah', 'no', 'kok', 'tiba', 'ubah', 'sungguh', 'bagong', 'prestasi', 'tahun', 'tutup', 'ending', 'jelas']",-5,negative
@NayDonuts @prabowo Kata Lord Bambang Pacul soal Menhan https://t.co/bCfIMnvb1b,kata lord bambang pacul soal menhan,"['kata', 'lord', 'bambang', 'pacul', 'soal', 'menhan']","['kata', 'lord', 'bambang', 'pacul', 'soal', 'menhan']","['kata', 'lord', 'bambang', 'pacul', 'soal', 'menhan']",-6,negative
